Username,Konten,Lokasi
VikohRofikoh,"Menanggapi hal ini, Gubernur Jawa Barat Ridwan Kamil membuka suara. Ridwan Kamil mengatakan bahwa dirinya tidak pernah mengeluarkan data teknis soal angka keseluruhan pembangunan masjid itu.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Angka itu didapat dari hasil investigasi dan temuan di LPSE Jawa Barat. Sementara, berbeda dengan apa yang disampaikan Gubenur Jawa Barat, Ridwan Kamil yang hanya menyebutkan Rp 1 Triliun.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Sebelumnya Beyond Anti Korupsi mempertanyakan tentang temuan data anggaran keseluruhan pembangunan Masjid Al Jabbar mencapai nilai 1,6 Triliun. 
#BersamaJuara 
Ridwan Kamil","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Ridwan Kamil Buka Suara soal Angka Rp1,6 T di Pembangunan Masjid Al Jabbar, RK: Mau Dilaporkan, Silahkan!
#BersamaJuara https://t.co/pUnmQVx4xg","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"“Akan ada regulasi karena animonya luar biasa besar termasuk destinasi religi paling heboh lah ya di republik hari ini adalah Masjid Al-Jabbar dan saya akan tata di waktu menjelang ramadhan,” pungkasnya (Ridwan Kamil).
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Begitu juga dengan Pedagang Kaki Lima (PKL) yang menjamur. Emil (Ridwan Kamil) akan segera menerbitkan regulasi yang mengatur zona PKL. Ia berjanji kawasan ini akan tertata sebelum bulan puasa.
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"“Akan ada regulasi karena animonya luar biasa besar termasuk destinasi religi paling heboh lah ya di republik hari ini adalah Masjid Al-Jabbar dan saya akan tata di waktu menjelang ramadhan,” pungkasnya (Ridwan Kamil).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"“Jadi manajemen sampah di Al-Jabbar sudah ada jadwal-jadwalnya. Yang perlu itu diimbau pengunjungnya untuk membuang sampah pada tempatnya,” ujarnya (Ridwan Kamil).
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"Begitu juga dengan Pedagang Kaki Lima (PKL) yang menjamur. Emil (Ridwan Kamil) akan segera menerbitkan regulasi yang mengatur zona PKL. Ia berjanji kawasan ini akan tertata sebelum bulan puasa.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Ridwan Kamil menuturkan, yang harus dibenahi yakni sikap pengunjung membuang sampah tidak pada tempatnya. 
#BersamaJuara","Central Borneo,Indonesia"
