Judul,Konten
"RK Sulit Hubungi Lucky Hakim Mundur Wabup, Kini Tim Meluncur ke Indramayu",Ridwan Kamil menuturkan tim tengah meluncur ke Indramayu untuk mencari tahu penyebab Lucky Hakim mundur sebagai orang nomor dua di Indramayu.
Ridwan Kamil Mengaku Sulit Hubungi Lucky Hakim Usai Nyatakan Mundur,Gubernur Jawa Barat Ridwan Kamil menyampaikan laporan terkini mengenai polemik yang dalami Lucky Hakim. Ridwan Kamil mengaku susah menghubungi Lucky Hakim.
"MRT Bekasi-DKI Segera Dibangun, Heru Budi Harap Cara Warga Bepergian Berubah",MRT rute Bekasi-Jakarta-Balajara segera dibangun. Pj Gubernur DKI berharap MRT bisa membuat cara bepergian warga bisa berubah.
Momen Lucu Ridwan Kamil Salah Sebut 'Saya Gubernur DKI' di Depan Heru Budi,"Ridwan Kamil menandatangani MoU dengan Heru Budi soal MRT. Dalam acara itu, RK sempat salah menyebut dirinya sebagai Gubernur DKI, yang disambut tawa peserta."
Ridwan Kamil Harap Pusat Setujui Usulan Pahlawan Nasional Inggit Garnasih,"Gubernur Jawa Barat M Ridwan Kamil berharap usulan gelar pahlawan nasional istri kedua Presiden Soekarno, Inggit Garnasih bisa disetujui oleh pemerintah pusat."
"Dicek Otoritas Saudi, Bandara Kertajati Siap Dipakai Penerbangan Haji!","Bandara Internasional Kertajati di Majalengka, Jawa Barat diproyeksikan untuk bisa menjadi embarkasi alias bandara asal untuk penerbangan haji dari Indonesia."
Ridwan Kamil Soroti Kasus Bocah Autis Dijepit Terapis: Itu Metode Lazim?,Gubernur Jabar Ridwan Kamil menyoroti kasus bocah pengidap autisme yang dijepit kepalanya oleh terapis di Depok. Dia berharap ada penjelasan soal peristiwa itu.
Restu Ridwan Kamil untuk Uu Ruzhanul di Pilgub Jabar,Uu Ruzhanul Ulum siap maju di Pilgub Jabar. Ia beralasan sudah mengantongi restu dari Ridwan Kamil untuk jadi cagub yang membuatnya mantap mencalonkan diri.
7 Fakta Terkini Polemik Mundurnya Wabup Indramayu Lucky Hakim,Lucky Hakim memilih mundur dari jabatannya sebagai Wakil Bupati (Wabup) Indramayu. Ini 7 fakta terbarunya.
Jabar Hari Ini: Suara Hati Lucky Hakim yang Ingin Mundur,"Beragam peristiwa terjadi di Jawa Barat, Rabu (15/2/2023), dari mulai pengakuan Lucky Hakim mundur sebagai Wakil Bupati Indramayu hingga JAD galang dana."
Lucky Hakim Siap Penuhi Panggilan Ridwan Kamil,Gubernur Jabar Ridwan Kamil akan memanggil Lucky Hakim terkait pengunduran dirinya sebagai Wabup Indramayu. Lucky pun siap memenuhi panggilan tersebut.
Uu Ruzhanul Kantongi Restu Ridwan Kamil untuk Jadi Cagub Jabar,Wagub Jabar Uu Ruzhanul Ulum mantap maju sebagai cagub Jabar. Apalagi ia mengaku sudah mendapat restu dari Ridwan Kamil.
Polisi Selidiki Dugaan JAD Galang Dana Lewat Bantuan Gempa Cianjur,BNPT mendeteksi kelompok teroris Jamaah Ansharud Daulah (JAD) menggalang dana dengan dalih untuk bantuan korban gempa Cianjur.
RK Akan Panggil Bupati Indramayu dan Lucky Hakim yang Mundur dari Wabup,Gubernur Jawa Barat Ridwan Kamil akan memanggil Lucky Hakim yang mengundurkan diri sebagai wakil bupati Indramayu.
"Teroris JAD Galang Dana Lewat Gempa Cianjur, Polisi Lakukan Penyelidikan",BNPT mendeteksi kelompok teroris Jamaah Ansharud Daulah (JAD) menggalang dana dengan dalih untuk bantuan korban gempa Cianjur.
